gm_naam,n,rmse,mae,mean_true,mean_pred,mean_abs_error
Someren,34,0.620297731147275,0.4480195596935319,2.3175787080950667,2.292206331210978,0.4480195596935319
Súdwest-Fryslân,155,0.5862474870306436,0.4708352811654252,1.721646910558081,1.8767080519468553,0.4708352811654252
Tilburg,254,0.5531578857871341,0.41139768527559467,3.345943088421948,3.312053269054007,0.41139768527559467
Twenterand,27,0.3752286544148487,0.3034792200415821,2.9253383175750582,2.846241248978509,0.3034792200415821
Uitgeest,6,0.4069938090752448,0.31377294945927814,3.9145736531374236,3.791414419809977,0.31377294945927814
Uithoorn,11,0.49736022234906446,0.40046804016057497,4.126245763584455,4.183024926619097,0.40046804016057497
Veendam,17,0.4175951540896379,0.3347554881053342,3.5655468865112323,3.3001915006076588,0.3347554881053342
Voorschoten,12,0.6273385894978015,0.46350095038700506,3.9648232462397917,4.155229349931081,0.46350095038700506
Wassenaar,21,0.6037478258333226,0.3944546259927847,3.617405522180498,3.59432730220613,0.3944546259927847
Waterland,19,0.6790317711621886,0.47408748356754254,2.6490269493120335,2.9483884384757593,0.47408748356754254
Weert,38,0.5525614932778098,0.38666500207780313,3.3639647894275364,3.361829177329415,0.38666500207780313
Wijk bij Duurstede,18,0.34589899209259395,0.2538772292232923,3.146070351140347,3.338117665714688,0.2538772292232923
Woudenberg,11,0.44726558997440896,0.34189443187534324,3.3883200185857065,3.1600168618288906,0.34189443187534324
Zandvoort,19,0.9151906168712273,0.6949085657848765,3.6770124979520706,3.1410464173869084,0.6949085657848765
Zeewolde,11,0.43638536387269145,0.3336527368904822,3.6083334942825984,3.9070397940548984,0.3336527368904822
Zeist,35,0.44260023743280746,0.3246012202554286,3.6737905364962353,3.91405691078731,0.3246012202554286
Zevenaar,40,0.5392297111481248,0.40361183867532946,2.996513147680356,3.0505293667316438,0.40361183867532946
