gm_naam,n,mean_true,mean_pred,mean_residual,mae,max_abs_error
Arnhem,83,4.568337274873932,4.398612151662987,0.1697251232109447,0.33607781415362725,1.9468584818467036
Veendam,17,3.5655468865112323,3.3001915006076588,0.26535538590357377,0.3347554881053342,0.882856005676723
Zeewolde,11,3.6083334942825984,3.9070397940548984,-0.29870629977229973,0.3336527368904822,0.8324122627234918
Hof van Twente,48,2.563409310886304,2.6187939159572124,-0.05538460507090836,0.3278013158710937,1.086589763327552
Beesel,8,2.808204170121393,2.8438708782196045,-0.0356667080982115,0.32683458316161357,0.7386301378749978
Zeist,35,3.6737905364962353,3.91405691078731,-0.2402663742910748,0.3246012202554286,1.2033136127394657
Haarlem,111,3.956125892863389,3.9033771882186064,0.05274870464478237,0.32380470317126286,1.3909924030303955
Helmond,44,4.234530490697204,4.091189595786008,0.14334089491119667,0.32192363094709125,1.1214777099312112
Uitgeest,6,3.9145736531374236,3.791414419809977,0.12315923332744617,0.31377294945927814,0.7631497961925469
Heerenveen,31,3.0166437486741047,3.198521469869921,-0.1818777211958163,0.3107231457504454,1.0859968879649382
Heusden,17,3.733397804583526,3.976504914900836,-0.2431071103173096,0.3070083453424414,1.3337345161384102
Nijmegen,44,5.007468708598188,4.9485178779472,0.05895083065098727,0.3052260186892018,0.8563940761488893
Beek,8,3.4368196954130306,3.2820276468992233,0.15479204851380726,0.30422441806888023,0.5467914661149695
Twenterand,27,2.9253383175750582,2.846241248978509,0.07909706859654975,0.3034792200415821,0.7823673109554421
Hoogeveen,48,3.2417352997661406,3.0074462791283927,0.23428902063774806,0.30343399428636725,1.32122977967223
Beverwijk,36,3.686862123876919,3.615952710310618,0.07090941356630089,0.29097005224095956,1.273618818419605
Halderberge,20,3.543170217424663,3.3764388620853425,0.16673135533932096,0.26945178782904977,0.9037400432715909
Wijk bij Duurstede,18,3.146070351140347,3.338117665714688,-0.1920473145743409,0.2538772292232923,0.7900617442404512
Kerkrade,18,4.678418637937125,4.545911815431383,0.1325068225057426,0.2177626935807169,0.5037052828622306
Kapelle,6,3.2762422822714434,3.433502197265625,-0.1572599149941817,0.187415800206436,0.7169337509078004
